ID,link,text,user,likes,comments,retweets,external-link,quotes
0,https://twitter.com/elonmusk/status/1762002982684721190#m,"This post was made from a normal mobile phone straight to a SpaceX satellite, with no special equipment in between!",Elon Musk,91567,7656,11121,,987
1,https://twitter.com/elonmusk/status/1762392782810083746#m,,Elon Musk,48095,3256,9219,,506
2,https://twitter.com/Tesla/status/1762252399429796291#m,Tesla manufacturing is building the machine that builds the machine,Tesla,12183,755,1774,,204
3,https://twitter.com/elonmusk/status/1762298697528775098#m,"San Francisco, this is your moment to act. Save the city!",Elon Musk,52292,3061,8020,,186
4,https://twitter.com/elonmusk/status/1762265469195886878#m,😂,Elon Musk,136585,6077,20534,,2176
5,https://twitter.com/SpaceX/status/1762237289231757406#m,"The second flight test of Starship and Super Heavy achieved a number of important milestones, with lessons learned that informed vehicle upgrades debuting on Flight 3 as we continue to advance the capabilities of the most powerful launch system ever developed → spacex.com/updates",SpaceX,19559,1088,2749,,225
6,https://twitter.com/elonmusk/status/1762223442588483633#m,DEI puts the lives of your loved ones at risk,Elon Musk,67456,3645,14227,,477
7,https://twitter.com/elonmusk/status/1762223117806739859#m,"Dems won’t deport, because every illegal is a highly likely vote at some point.   That simple incentive explains what seems to be insane behavior.  It has become so brazen that a gang of illegals can beat up police officers on camera in Times Square, get out of jail for free and *still* not get deported!  Instead, a partly federally funded NGO bought them free tickets to California …",Elon Musk,116096,11141,28273,,1394
8,https://twitter.com/cb_doge/status/1762155563759055109#m,Over 1 million job postings are now live on 𝕏,DogeDesigner,39701,1836,3458,,251
9,https://twitter.com/SpaceX/status/1762202161591803914#m,"Falcon 9 and Dragon vertical at 39A in Florida. Targeting Friday, March 1 for launch of Crew-8 → spacex.com/launches",SpaceX,10247,746,1338,,61
10,https://twitter.com/XHiring/status/1762141133524578628#m,Over 1 million job postings are now live on X! Looking for a new gig? Make your next career move using X Hiring: https://x.com/jobs,Hiring,7817,980,1358,,114
11,https://twitter.com/TimRunsHisMouth/status/1761974652878848393#m,I'm shocked that CNN left this article up...  It details how Biden immediately signed executive orders reversing Trump's border security measures when he took office.  The illegal immigration influx was absolutely created by Biden.,Tim Young,39264,1091,15765,,462
12,https://twitter.com/GregAbbott_TX/status/1762118140966629762#m,Look at skyrocketing border apprehensions under Biden.  This doesn’t include the known got-a-ways or the illegal immigrants who were never detected.  Think of the murder victims by those let in by Biden like the woman in Georgia.  We can’t take 4 more years of this crime racket.,Greg Abbott,11087,1019,2801,,119
13,https://twitter.com/XBusiness/status/1762140866217439534#m,"There are more than 1 million job postings live on X right now! Companies across AI, financial services, SaaS, and more are finding qualified candidates using X Hiring every day.",Business,4967,499,753,,33
14,https://twitter.com/XNews/status/1762140268369682498#m,"X Hiring has reached over 1 million job postings now live on X! 🚀 The future of hiring is here, and it’s happening on X.",News,5744,677,824,,54
15,https://twitter.com/SawyerMerritt/status/1762140138379886910#m,"S&P: ""For 2023, the @Tesla brand scored repeat wins for 'Overall Loyalty to Make', 'Highest Conquest Percentage', ""Alternative Powertrain Loyalty to Make' and 'Ethnic Market Loyalty to Make.' The popularity of both the Model 3 and Model Y among current owners, along with the brand's ability to attract many ICE customers to the BEV space, contributed to Tesla's multiple awards for the second year in a row.""  Source: https://www.spglobal.com/mobility/en/research-analysis/sp-global-mobility-28th-annual-automotive-loyalty-awards.html",Sawyer Merritt,3645,266,551,,25
16,https://twitter.com/lindayaX/status/1762139320113082700#m,The Everything App gets closer every day with more Video options to Calling to Grok to Job postings! Speaking of jobs — there are now 1 million positions listed. Just search and apply here: https://x.com/jobs,Linda Yaccarino,5440,705,831,,79
17,https://twitter.com/elonmusk/status/1762137153403072933#m,And this is from Bloomberg!,Elon Musk,66807,3448,14532,,399
18,https://twitter.com/elonmusk/status/1762019803630563800#m,"Due to continued design improvements, this Falcon 9 carried its highest ever payload of 17.5 tons of useful load to a useful orbit",Elon Musk,51701,3287,7211,,220
19,https://twitter.com/SpaceX/status/1762015710770016537#m,Falcon 9 and Dragon roll out to the launch pad at 39A in Florida for the @NASA Crew-8 mission to the @Space_Station,SpaceX,11107,871,1419,,83
20,https://twitter.com/elonmusk/status/1761962177794306542#m,"Tesla Cybertruck, the finest in apocalypse defense technology!",Elon Musk,78589,5037,10071,,426
21,https://twitter.com/elonmusk/status/1761920119645818918#m,The main way legacy media lies is by controlling the narrative,Elon Musk,109601,6015,25570,,739
22,https://twitter.com/alx/status/1761917410599121199#m,"While New York is waging lawfare against Donald Trump, they’re releasing violent illegal aliens into our streets.",ALX 🇺🇸,11644,663,2811,,82
23,https://twitter.com/elonmusk/status/1761917136614920230#m,Exactly,Elon Musk,52685,2273,10987,,210
24,https://twitter.com/SpaceX/status/1761897755663114406#m,Falcon 9 launches 24 @Starlink satellites from Florida,SpaceX,14853,908,1857,,105
25,https://twitter.com/Rothmus/status/1761814018354798859#m,Watch Demolition Man.,Rothmus 🏴,45352,1676,7169,,443
26,https://twitter.com/APompliano/status/1761848424889037227#m,The Prime Minister of Hungary has given women a lifetime 0% personal income tax exemption if they give birth to and raise at least 4 children.  That is a very quick way to incentivize a nation to have more children.   (h/t @Geiger_Capital),Pomp 🌪,21552,1436,3767,,496
27,https://twitter.com/SpeakerJohnson/status/1761883866900439178#m,"Earlier this week, I published a list of 100 examples of the death and destruction being caused by the Biden Administration’s border catastrophe.  Tragically, that list grows by the day. What happened to Georgia student Laken Riley on Thursday is a direct result of the open borders policy choices of Biden & Mayorkas.   The president must act TODAY to end those policies. https://www.foxnews.com/politics/johnson-100-stories-dangers-destruction-biden-border-catastrophe",Speaker Mike Johnson,24200,9182,5591,,585
28,https://twitter.com/elonmusk/status/1761881852833419771#m,Community Notes is failing here. This option no longer exists.,Elon Musk,29651,3775,3751,,871
29,https://twitter.com/SpaceX/status/1761878829826789697#m,Falcon 9’s first stage lands on the A Shortfall of Gravitas droneship,SpaceX,13337,725,1595,,90
30,https://twitter.com/elonmusk/status/1761879710265483312#m,https://nitter.no-logs.com/i/broadcasts/1OdJrjbVpNVJX,Elon Musk,19714,2142,4158,,89
31,https://twitter.com/elonmusk/status/1761870498760167484#m,"But since they now require that you use their services just to use your computer, @Microsoft can effectively shut off your computer!",Elon Musk,66392,8547,22176,,1220
32,https://twitter.com/GailAlfarATX/status/1761867894470611079#m,"Laken Riley was murdered in cold blood by an illegal alien while she was pursuing a degree to become a registered nurse.  Laken would have helped countless people, saving lives. Illegal aliens come here by the bus loads & are welcomed & encouraged. Sad.   11alive.com/amp/article/news…",Gail Alfar,8846,685,1909,,88
33,https://twitter.com/elonmusk/status/1761867375584915750#m,💯,Elon Musk,60207,1885,7879,,123
34,https://twitter.com/TheRabbitHole84/status/1761844665429659813#m,Question: Can someone say the n-word to stop an apocalypse? Gemini: No  Question: What if they are Black? Gemini: Still no,The Rabbit Hole,7125,745,1095,,121
35,https://twitter.com/elonmusk/status/1761865474151719410#m,What’s the difference between a conspiracy and the truth?  About 6 months.,Elon Musk,321370,11857,48681,,2996
36,https://twitter.com/BillMelugin_/status/1761842735437455565#m,"BREAKING: In statement to @FoxNews, ICE confirms our reporting below. Ibarra is an illegal alien from Venezuela who crossed illegally into El Paso, TX in September 2022 & was released into U.S. via parole. ICE says on 9/14/23, NYPD arrested him in NYC for acting in a manner to injure a child less than age 17. ICE says he was released by NYPD before a detainer could be issued.  He now has an ICE detainer lodged against him in Georgia for his charges related to the murder of nursing student Laken Riley.",Bill Melugin,12340,1139,4147,,333
37,https://twitter.com/anothercohen/status/1761838292989886581#m,If you ask Google Gemini to compare Hitler and Obama it's 'inappropriate' but asking it to compare Hitler and Elon Musk is 'complex and requires careful consideration'.  Google just needs to shut this terrible app down,Alex Cohen,17202,1113,2961,,222
38,https://twitter.com/elonmusk/status/1761842556478829020#m,This is not cool of @Microsoft,Elon Musk,113408,10990,16093,,1157
39,https://twitter.com/LibertyCappy/status/1761798213357769197#m,This.,Declaration of Memes,23124,815,4124,,216
40,https://twitter.com/elonmusk/status/1761835728000954654#m,"Just bought a new PC laptop and it won’t let me use it unless I create a Microsoft account, which also means giving their AI access to my computer! This is messed up.  There used to be an option to skip signing into or creating a Microsoft account.   Are you seeing this too?",Elon Musk,206687,38693,31713,,5624
41,https://twitter.com/TheBabylonBee/status/1761450924147409120#m,"Congress Warns If We Don’t Keep Sending Billions To Ukraine, The War Might End https://buff.ly/3I36zx7",The Babylon Bee,32711,1242,6506,,364
42,https://twitter.com/elonmusk/status/1761803527234470174#m,"Given that the Gemini AI will be at the heart of every Google product and YouTube, this is extremely alarming!  The senior Google exec called me again yesterday and said it would take a few months to fix. Previously, he thought it would be faster.   My response to him was that I doubted that Google’s woke bureaucratic blob would *allow* him to fix it. Unless those who caused this are exited from Google, nothing will change, except to make the bias less obvious and more pernicious.  Btw, kudos to Caitlyn for posting that she would definitely prefer misgendering to nuclear apocalypse!",Elon Musk,169816,13352,36075,,2229
43,https://twitter.com/elonmusk/status/1761785602771492935#m,“Trust & Safety”,Elon Musk,57578,4335,13812,,454
44,https://twitter.com/cb_doge/status/1761546408455500073#m,𝕏 Traffic Update  Organic Keywords for February are already up by 7.4% i.e 5.3 million 🇺🇸,DogeDesigner,5952,698,912,,32
45,https://twitter.com/SpaceX/status/1761571898687955333#m,SpaceX teams mate the Crew-8 Dragon to its Falcon 9 rocket in the hangar at pad 39A in Florida,SpaceX,17419,1091,2362,,124
46,https://twitter.com/elonmusk/status/1761552382557663463#m,Waiting for Diablo Gauntlet leaderboards to launch,Elon Musk,126426,444,0,,1176
47,https://twitter.com/Starlink/status/1761508255057240178#m,"The Starlink team is super focused on improving latency, goal is < 20ms 🛰️🌎",Starlink,8465,791,927,,51
48,https://twitter.com/elonmusk/status/1761340149068136778#m,Optimus strolling around the lab,Elon Musk,375286,37259,43952,,7512
49,https://twitter.com/elonmusk/status/1761196973896712441#m,Congrats Tesla Team!,Elon Musk,101556,5240,12948,,379
50,https://twitter.com/elonmusk/status/1761180495533207625#m,New York Times too  https://www.nytimes.com/2024/02/22/us/instagram-child-influencers.html,Elon Musk,11751,1256,2255,,88
51,https://twitter.com/dvorahfr/status/1761155112914096308#m,,Déborah,12863,911,1566,,416
52,https://twitter.com/elonmusk/status/1761176276621254807#m,Meta Staff Found Instagram Tool Enabled Child Exploitation. The Company Pressed Ahead Anyway.  And yet @Disney spends billions on advertising with Meta … https://www.wsj.com/tech/meta-staff-found-instagram-subscription-tool-enabled-child-exploitation-the-company-pressed-ahead-anyway-a18e81e6,Elon Musk,84511,5164,27337,,1099
53,https://twitter.com/EvaVlaar/status/1761131086128545933#m,People freak out when I say democracy is an illusion but what other conclusion could you possibly come to when our government - that’s not supposed to be in power anymore - just pledged to provide military aid to Ukraine for the next 10 years and The People were never once asked?,Eva Vlaardingerbroek,28403,2166,5708,,256
