ID,link,text,user,likes,comments,retweets,external-link,quotes
0,https://twitter.com/MrBeast/status/1523674759925760000#m,No takesies backsies,MrBeast,1263270,38423,67066,,12458
1,https://twitter.com/MrBeast/status/1760003663995486492#m,"The reason I’m doing all this investigation is I had tons of Feastables promo planned but I don’t want to send people to stores if shelves are empty. Don’t want to waste people’s time, after 4 days of restocking shelves I’ve concluded I should chill on the promo for a bit to not waste people’s time.",MrBeast,9908,1283,503,,37
2,https://twitter.com/MrBeast/status/1760000960418439308#m,If you run a business you’d find this interesting. A store forgot to put out our 35g milk chocolate bar and on the 16th I put the box from the back of store to checkout (where it was supposed to be) and look at our sales the following days at that checkout lane lol,MrBeast,8898,928,484,,33
3,https://twitter.com/MrBeast/status/1759997995083235689#m,Some stores I visit like this target sold out of all the inventory sent (the inventory was supposed to last weeks not a few days lol). Doing my best to get new product to stores like these. Problem is I only have so many bars and idk how to distribute them optimally lol,MrBeast,6939,1104,382,,41
4,https://twitter.com/MrBeast/status/1759996664788463977#m,Found another one. Sales were good then they dropped to 0. I helped restock the shelve and now they went back up at this store 🥰,MrBeast,8008,1043,443,,41
5,https://twitter.com/MrBeast/status/1759920809231913174#m,I spent 15 hours yesterday visiting Walmarts/Targets and seeing if they had inventory in the back and helping them put it out.   This store was doing 0 sales and when I visited it had 0 product on shelf. I found these in the backroom and had them scan them in/I placed them on the shelf. The store then started selling a bar an hour haha  Most products don’t have velocities like ours so you have to stock the shelves more frequently or they sit empty and people don’t have anything to buy. Learning a lot!,MrBeast,9960,1140,404,,133
6,https://twitter.com/MrBeast/status/1759424441585385559#m,"I’m seeing this a lot, doing everything I can to restock stores with the new Feastables bar, only so many I can put on a shelf 😅❤️",MrBeast,30128,2953,1397,,118
7,https://twitter.com/MrBeast/status/1759421179423584360#m,I just visited 5 Walmarts and 1 was sold out and the other 4 only had a few bars left 😅  I’ll restock it as fast as I can 🫡,MrBeast,14447,937,395,,35
8,https://twitter.com/MrBeast/status/1758976973131673674#m,"This is the biggest announcement of my entire life, let me know what you think",MrBeast,158306,10005,10711,,1751
9,https://twitter.com/MrBeast/status/1758642415567819019#m,"I found 100 people ages 1 thru 100 and trapped them in cubes. Then they competed in mental/physical challenges for $500,000 to see which age is the best :D",MrBeast,139689,7095,10998,,4095
10,https://twitter.com/MrBeast/status/1756362702090391965#m,If you don’t watch my new YouTube video right now I’ll be very sad,MrBeast,81351,12234,4528,,626
